n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
16,1311.0,0.819375,0.65,1.6,3.0,0.55
16,1311.0,0.819375,0.65,1.6,3.0,0.6
16,1311.0,0.819375,0.65,1.6,3.0,0.65
16,1311.0,0.819375,0.65,1.6,3.0,0.7
20,1560.0,0.78,0.55,1.6,3.0,0.55
20,1560.0,0.78,0.55,1.6,3.0,0.6
20,1560.0,0.78,0.55,1.6,3.0,0.65
20,1560.0,0.78,0.55,1.6,3.0,0.7
20,1560.0,0.78,0.6,1.6,3.0,0.55
20,1560.0,0.78,0.6,1.6,3.0,0.6
20,1560.0,0.78,0.6,1.6,3.0,0.65
20,1560.0,0.78,0.6,1.6,3.0,0.7
14,961.0,0.6864285714285714,0.65,1.6,2.5,0.55
14,961.0,0.6864285714285714,0.65,1.6,2.5,0.6
14,961.0,0.6864285714285714,0.65,1.6,2.5,0.65
14,961.0,0.6864285714285714,0.65,1.6,2.5,0.7
26,1767.0,0.6796153846153846,0.5,1.6,3.0,0.55
26,1767.0,0.6796153846153846,0.5,1.6,3.0,0.6
26,1767.0,0.6796153846153846,0.5,1.6,3.0,0.65
26,1767.0,0.6796153846153846,0.5,1.6,3.0,0.7
13,869.0,0.6684615384615384,0.5,1.6,2.1,0.55
13,869.0,0.6684615384615384,0.5,1.6,2.1,0.6
13,869.0,0.6684615384615384,0.5,1.6,2.1,0.65
13,869.0,0.6684615384615384,0.5,1.6,2.1,0.7
11,721.0,0.6554545454545454,0.55,1.6,2.1,0.55
11,721.0,0.6554545454545454,0.55,1.6,2.1,0.6
11,721.0,0.6554545454545454,0.55,1.6,2.1,0.65
11,721.0,0.6554545454545454,0.55,1.6,2.1,0.7
11,721.0,0.6554545454545454,0.6,1.6,2.1,0.55
11,721.0,0.6554545454545454,0.6,1.6,2.1,0.6
11,721.0,0.6554545454545454,0.6,1.6,2.1,0.65
11,721.0,0.6554545454545454,0.6,1.6,2.1,0.7
22,1347.0,0.6122727272727273,0.5,1.6,2.5,0.55
22,1347.0,0.6122727272727273,0.5,1.6,2.5,0.6
22,1347.0,0.6122727272727273,0.5,1.6,2.5,0.65
22,1347.0,0.6122727272727273,0.5,1.6,2.5,0.7
17,1040.0,0.611764705882353,0.55,1.6,2.5,0.55
17,1040.0,0.611764705882353,0.55,1.6,2.5,0.6
17,1040.0,0.611764705882353,0.55,1.6,2.5,0.65
17,1040.0,0.611764705882353,0.55,1.6,2.5,0.7
17,1040.0,0.611764705882353,0.6,1.6,2.5,0.55
17,1040.0,0.611764705882353,0.6,1.6,2.5,0.6
17,1040.0,0.611764705882353,0.6,1.6,2.5,0.65
17,1040.0,0.611764705882353,0.6,1.6,2.5,0.7
9,542.0,0.6022222222222222,0.65,1.6,2.1,0.55
9,542.0,0.6022222222222222,0.65,1.6,2.1,0.6
9,542.0,0.6022222222222222,0.65,1.6,2.1,0.65
9,542.0,0.6022222222222222,0.65,1.6,2.1,0.7
34,1791.0,0.5267647058823529,0.6,1.4,3.0,0.55
34,1791.0,0.5267647058823529,0.6,1.4,3.0,0.6
34,1791.0,0.5267647058823529,0.6,1.4,3.0,0.65
34,1791.0,0.5267647058823529,0.6,1.4,3.0,0.7
29,1491.0,0.5141379310344828,0.65,1.4,3.0,0.55
29,1491.0,0.5141379310344828,0.65,1.4,3.0,0.6
29,1491.0,0.5141379310344828,0.65,1.4,3.0,0.65
29,1491.0,0.5141379310344828,0.65,1.4,3.0,0.7
9,455.0,0.5055555555555555,0.5,1.6,2.0,0.55
9,455.0,0.5055555555555555,0.5,1.6,2.0,0.6
9,455.0,0.5055555555555555,0.5,1.6,2.0,0.65
9,455.0,0.5055555555555555,0.5,1.6,2.0,0.7
35,1691.0,0.48314285714285715,0.55,1.4,3.0,0.55
35,1691.0,0.48314285714285715,0.55,1.4,3.0,0.6
35,1691.0,0.48314285714285715,0.55,1.4,3.0,0.65
35,1691.0,0.48314285714285715,0.55,1.4,3.0,0.7
41,1898.0,0.4629268292682927,0.5,1.4,3.0,0.55
41,1898.0,0.4629268292682927,0.5,1.4,3.0,0.6
41,1898.0,0.4629268292682927,0.5,1.4,3.0,0.65
41,1898.0,0.4629268292682927,0.5,1.4,3.0,0.7
45,1993.0,0.4428888888888889,0.6,1.25,3.0,0.55
45,1993.0,0.4428888888888889,0.6,1.25,3.0,0.6
45,1993.0,0.4428888888888889,0.6,1.25,3.0,0.65
45,1993.0,0.4428888888888889,0.6,1.25,3.0,0.7
7,307.0,0.43857142857142856,0.55,1.6,2.0,0.55
7,307.0,0.43857142857142856,0.55,1.6,2.0,0.6
7,307.0,0.43857142857142856,0.55,1.6,2.0,0.65
7,307.0,0.43857142857142856,0.55,1.6,2.0,0.7
7,307.0,0.43857142857142856,0.6,1.6,2.0,0.55
7,307.0,0.43857142857142856,0.6,1.6,2.0,0.6
7,307.0,0.43857142857142856,0.6,1.6,2.0,0.65
7,307.0,0.43857142857142856,0.6,1.6,2.0,0.7
40,1693.0,0.42325,0.65,1.25,3.0,0.55
40,1693.0,0.42325,0.65,1.25,3.0,0.6
40,1693.0,0.42325,0.65,1.25,3.0,0.65
40,1693.0,0.42325,0.65,1.25,3.0,0.7
27,1141.0,0.4225925925925926,0.65,1.4,2.5,0.55
27,1141.0,0.4225925925925926,0.65,1.4,2.5,0.6
27,1141.0,0.4225925925925926,0.65,1.4,2.5,0.65
27,1141.0,0.4225925925925926,0.65,1.4,2.5,0.7
46,1893.0,0.41152173913043477,0.55,1.25,3.0,0.55
46,1893.0,0.41152173913043477,0.55,1.25,3.0,0.6
46,1893.0,0.41152173913043477,0.55,1.25,3.0,0.65
46,1893.0,0.41152173913043477,0.55,1.25,3.0,0.7
31,1271.0,0.41,0.6,1.4,2.5,0.55
31,1271.0,0.41,0.6,1.4,2.5,0.6
31,1271.0,0.41,0.6,1.4,2.5,0.65
31,1271.0,0.41,0.6,1.4,2.5,0.7
53,2134.0,0.40264150943396226,0.5,1.25,3.0,0.55
53,2134.0,0.40264150943396226,0.5,1.25,3.0,0.6
53,2134.0,0.40264150943396226,0.5,1.25,3.0,0.65
53,2134.0,0.40264150943396226,0.5,1.25,3.0,0.7
37,1478.0,0.3994594594594595,0.5,1.4,2.5,0.55
37,1478.0,0.3994594594594595,0.5,1.4,2.5,0.6
37,1478.0,0.3994594594594595,0.5,1.4,2.5,0.65
37,1478.0,0.3994594594594595,0.5,1.4,2.5,0.7
6,233.0,0.3883333333333333,0.65,1.6,2.0,0.55
6,233.0,0.3883333333333333,0.65,1.6,2.0,0.6
6,233.0,0.3883333333333333,0.65,1.6,2.0,0.65
6,233.0,0.3883333333333333,0.65,1.6,2.0,0.7
25,952.0,0.3808,0.6,1.4,2.1,0.55
25,952.0,0.3808,0.6,1.4,2.1,0.6
25,952.0,0.3808,0.6,1.4,2.1,0.65
25,952.0,0.3808,0.6,1.4,2.1,0.7
32,1171.0,0.3659375,0.55,1.4,2.5,0.55
32,1171.0,0.3659375,0.55,1.4,2.5,0.6
32,1171.0,0.3659375,0.55,1.4,2.5,0.65
32,1171.0,0.3659375,0.55,1.4,2.5,0.7
65,2343.0,0.36046153846153844,0.6,1.1,3.0,0.55
65,2343.0,0.36046153846153844,0.6,1.1,3.0,0.6
65,2343.0,0.36046153846153844,0.6,1.1,3.0,0.65
65,2343.0,0.36046153846153844,0.6,1.1,3.0,0.7
28,1000.0,0.35714285714285715,0.5,1.4,2.1,0.55
28,1000.0,0.35714285714285715,0.5,1.4,2.1,0.6
28,1000.0,0.35714285714285715,0.5,1.4,2.1,0.65
28,1000.0,0.35714285714285715,0.5,1.4,2.1,0.7
38,1343.0,0.35342105263157897,0.65,1.25,2.5,0.55
38,1343.0,0.35342105263157897,0.65,1.25,2.5,0.6
38,1343.0,0.35342105263157897,0.65,1.25,2.5,0.65
38,1343.0,0.35342105263157897,0.65,1.25,2.5,0.7
42,1473.0,0.3507142857142857,0.6,1.25,2.5,0.55
42,1473.0,0.3507142857142857,0.6,1.25,2.5,0.6
42,1473.0,0.3507142857142857,0.6,1.25,2.5,0.65
42,1473.0,0.3507142857142857,0.6,1.25,2.5,0.7
57,1995.0,0.35,0.65,1.1,3.0,0.55
57,1995.0,0.35,0.65,1.1,3.0,0.6
57,1995.0,0.35,0.65,1.1,3.0,0.65
57,1995.0,0.35,0.65,1.1,3.0,0.7
49,1714.0,0.3497959183673469,0.5,1.25,2.5,0.55
49,1714.0,0.3497959183673469,0.5,1.25,2.5,0.6
49,1714.0,0.3497959183673469,0.5,1.25,2.5,0.65
49,1714.0,0.3497959183673469,0.5,1.25,2.5,0.7
66,2243.0,0.33984848484848484,0.55,1.1,3.0,0.55
66,2243.0,0.33984848484848484,0.55,1.1,3.0,0.6
66,2243.0,0.33984848484848484,0.55,1.1,3.0,0.65
66,2243.0,0.33984848484848484,0.55,1.1,3.0,0.7
22,722.0,0.3281818181818182,0.65,1.4,2.1,0.55
22,722.0,0.3281818181818182,0.65,1.4,2.1,0.6
22,722.0,0.3281818181818182,0.65,1.4,2.1,0.65
22,722.0,0.3281818181818182,0.65,1.4,2.1,0.7
26,852.0,0.32769230769230767,0.55,1.4,2.1,0.55
26,852.0,0.32769230769230767,0.55,1.4,2.1,0.6
26,852.0,0.32769230769230767,0.55,1.4,2.1,0.65
26,852.0,0.32769230769230767,0.55,1.4,2.1,0.7
36,1154.0,0.32055555555555554,0.6,1.25,2.1,0.55
36,1154.0,0.32055555555555554,0.6,1.25,2.1,0.6
36,1154.0,0.32055555555555554,0.6,1.25,2.1,0.65
36,1154.0,0.32055555555555554,0.6,1.25,2.1,0.7
75,2399.0,0.3198666666666667,0.5,1.1,3.0,0.55
75,2399.0,0.3198666666666667,0.5,1.1,3.0,0.6
75,2399.0,0.3198666666666667,0.5,1.1,3.0,0.65
75,2399.0,0.3198666666666667,0.5,1.1,3.0,0.7
43,1373.0,0.3193023255813954,0.55,1.25,2.5,0.55
43,1373.0,0.3193023255813954,0.55,1.25,2.5,0.6
