date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,won
2025-10-28,GSW,LAC,1.0,0.6666666666666666,2.05,20.0,1.0
2025-10-28,MIA,CHO,1.0,0.75,1.44,20.0,1.0
2025-10-28,MIL,NYK,1.0,0.710288212665866,2.05,20.0,1.0
2025-10-28,OKC,SAC,1.0,0.8571428571428571,1.22,20.0,1.0
2025-10-29,CHI,SAC,1.0,0.875,1.51,20.0,1.0
2025-10-29,PHO,MEM,1.0,0.6363636363636364,2.02,20.0,0.0
2025-10-29,UTA,POR,1.0,0.7142857142857143,2.24,20.0,0.0
2025-10-30,CHO,ORL,1.0,0.9,2.15,50.0,0.0
2025-10-30,MIL,GSW,1.0,0.857,2.3,50.0,1.0
2025-10-30,SAS,MIA,1.0,0.9,1.42,50.0,1.0
2025-10-31,CLE,TOR,1.0,0.85,1.35,50.0,0.0
2025-10-31,LAC,NOP,1.0,0.85,1.19,30.26,1.0
2025-10-31,CHI,NYK,1.0,0.85,2.6,50.0,1.0
2025-11-01,DET,DAL,0.67,0.826,1.33,50.0,1.0
2025-11-02,PHO,SAS,0.67,0.462,2.9,50.0,1.0
2025-11-03,DEN,SAC,1.0,0.8,1.17,50.0,1.0
2025-11-03,LAC,MIA,1.0,0.7,1.31,50.0,0.0
2025-11-03,NYK,WAS,1.0,0.8,1.15,50.0,1.0
2025-11-03,POR,LAL,0.67,0.7,1.31,50.0,0.0
2025-11-04,CHI,PHI,1.0,0.5,1.87,50.0,1.0
2025-11-04,GSW,PHO,1.0,0.778,1.27,50.0,1.0
2025-11-05,DET,UTA,0.75,0.562,1.22,50.0,
2025-11-05,CLE,PHI,0.67,0.786,1.24,50.0,
2025-11-05,DEN,MIA,1.0,1.0,1.25,50.0,
2025-11-05,NYK,MIN,1.0,0.842,1.65,50.0,
