,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
CHI,9,5,5,1.0
NYK,9,6,6,1.0
OKC,11,4,4,1.0
GSW,11,5,5,1.0
SAS,9,5,5,1.0
MIA,10,4,4,1.0
DEN,9,6,6,1.0
CLE,10,5,4,0.8
PHO,10,5,4,0.8
DET,10,5,4,0.8
UTA,9,3,2,0.67
HOU,9,3,2,0.67
MIL,10,6,4,0.67
LAL,10,5,3,0.6
PHI,10,5,3,0.6
POR,9,5,3,0.6
TOR,10,4,2,0.5
CHO,9,4,2,0.5
MIN,10,4,2,0.5
LAC,9,6,3,0.5
BOS,11,5,2,0.4
ATL,10,5,2,0.4
ORL,10,5,2,0.4
SAC,10,5,2,0.4
MEM,11,8,3,0.38
DAL,10,6,2,0.33
NOP,9,3,1,0.33
IND,10,5,1,0.2
BRK,10,5,0,0.0
WAS,10,5,0,0.0
