home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BOS,MEM,0.6328511537229082,0,1.34,3.4,2025-11-12
CHO,MIL,0.627190734671952,0,2.14,1.74,2025-11-12
DAL,PHO,0.3664953839103627,0,2.14,1.74,2025-11-12
DET,CHI,0.6884772230872925,0,2.02,1.82,2025-11-12
HOU,WAS,0.6646212039618211,0,1.06,10.0,2025-11-12
LAC,DEN,0.5389823609701524,0,2.36,1.62,2025-11-12
MIA,CLE,0.6460983895391259,0,1.46,2.8,2025-11-12
NOP,POR,0.34748170574889153,0,3.75,1.29,2025-11-12
NYK,ORL,0.703071543837119,0,1.57,2.45,2025-11-12
OKC,LAL,0.7465355989813921,0,1.33,3.45,2025-11-12
SAC,ATL,0.4514234957350022,0,2.4,1.6,2025-11-12
SAS,GSW,0.7352251782418444,0,1.62,2.36,2025-11-12
